Time,File,Total,bearded seal,Unknown,fin whale,killer whale,Walrus,Boating,minke,
05-Aug-07 03:33:05,shell-00EA0680.a26..1186284785.2007-08-05-03-33-05.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Aug-07 04:06:58,shell-00EA0681.a26..1186286818.2007-08-05-04-06-58.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Aug-07 04:40:50,shell-00EA0682.a26..1186288850.2007-08-05-04-40-50.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Aug-07 05:14:44,shell-00EA0683.a26..1186290884.2007-08-05-05-14-44.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Aug-07 05:48:38,shell-00EA0684.a26..1186292918.2007-08-05-05-48-38.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Aug-07 06:22:32,shell-00EA0685.a26..1186294952.2007-08-05-06-22-32.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Aug-07 06:56:26,shell-00EA0686.a26..1186296986.2007-08-05-06-56-26.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Aug-07 07:30:20,shell-00EA0687.a26..1186299020.2007-08-05-07-30-20.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Aug-07 08:04:11,shell-00EA0688.a26..1186301051.2007-08-05-08-04-11.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Aug-07 08:38:03,shell-00EA0689.a26..1186303083.2007-08-05-08-38-03.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Aug-07 09:11:54,shell-00EA0690.a26..1186305114.2007-08-05-09-11-54.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Aug-07 09:45:46,shell-00EA0691.a26..1186307146.2007-08-05-09-45-46.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Aug-07 10:19:38,shell-00EA0692.a26..1186309178.2007-08-05-10-19-38.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Aug-07 10:53:29,shell-00EA0693.a26..1186311209.2007-08-05-10-53-29.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Aug-07 11:27:21,shell-00EA0694.a26..1186313241.2007-08-05-11-27-21.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Aug-07 12:01:12,shell-00EA0695.a26..1186315272.2007-08-05-12-01-12.wav_chan0.xml,0,0,0,0,0,0,0,0,
